,year,CG_max,CG_min,CG_mean,CG_median,CG_var,IP_outs_max,IP_outs_min,IP_outs_mean,IP_outs_median,IP_outs_var,batters_faced_max,batters_faced_min,batters_faced_mean,batters_faced_median,Opp_BA_max,Opp_BA_min,Opp_BA_mean,Opp_BA_median,BB_max,BB_min,BB_mean,BB_median,BB_var,SO_max,SO_min,SO_mean,SO_median,SO_var,ERA_max,ERA_min,ERA_mean,ERA_median
0,1871,31,0,12.157894736842104,2.0,161.69590643274853,849,3,355.2631578947368,88.0,122868.64912280702,1349.0,3.0,590.2631578947369,160.0,,,,,75,0.0,20.68421052631579,11.0,440.7836257309942,34,0,9.210526315789474,1.0,116.39766081871345,27.0,0.0,5.991578947368421,4.5
1,1872,53,0,13.625,8.0,270.5054347826087,1491,24,410.75,231.5,210861.15217391305,2251.0,50.0,663.6666666666666,421.0,,,,,52,0.0,10.958333333333334,6.5,156.3894927536232,57,0,11.041666666666666,3.5,266.3894927536232,10.5,1.8,4.810416666666667,4.4
2,1873,51,0,14.48,2.0,370.0933333333333,1490,15,430.16,102.0,299846.64,2353.0,24.0,691.76,183.0,,,,,62,0.0,13.4,6.0,333.25,79,0,11.12,2.0,369.36,12.0,0.0,4.304,3.6
3,1874,65,0,25.823529411764707,17.0,676.5294117647059,1852,10,735.8235294117648,530.0,503921.5294117647,2784.0,23.0,1137.764705882353,846.0,,,,,43,0.0,14.0,12.0,204.25,101,0,21.0,12.0,764.0,16.2,1.62,4.089411764705882,2.25
4,1875,69,0,13.212765957446809,5.0,330.9537465309898,1877,3,395.1276595744681,186.0,265060.8963922294,2759.0,9.0,576.2127659574468,266.0,,,,,24,0.0,5.297872340425532,3.0,37.170212765957444,82,0,14.361702127659575,3.0,516.5837187789084,22.5,0.0,4.318510638297872,2.71
5,1876,66,0,13.882352941176471,1.5,406.9554367201426,1866,0,418.1764705882353,41.5,326840.14973262034,2568.0,2.0,604.0,67.5,,,,,51,0.0,9.882352941176471,1.0,207.37967914438502,122,0,17.323529411764707,1.5,919.2557932263815,20.25,0.0,,2.795
6,1877,61,0,17.157894736842106,6.0,439.4736842105263,1677,3,511.7368421052632,276.0,333385.5380116959,2328.0,7.0,737.3157894736842,439.0,,,,,53,0.0,18.210526315789473,11.0,345.953216374269,170,0,38.21052631578947,11.0,2531.1754385964914,18.0,0.75,4.26,3.51
7,1878,57,0,16.0,7.5,400.76190476190476,1598,3,453.27272727272725,213.0,302550.87445887446,2159.0,8.0,637.1363636363636,304.0,,,,,56,0.0,16.545454545454547,10.5,259.4025974025974,182,0,49.13636363636363,19.5,3875.45670995671,18.0,1.51,3.9936363636363637,2.46
8,1879,75,0,23.423076923076923,14.0,657.1338461538462,2040,3,668.8846153846154,422.5,502945.38615384616,2906.0,13.0,948.6923076923077,602.5,,,,,74,0.0,19.53846153846154,15.5,393.29846153846154,239,0,70.88461538461539,44.0,5594.106153846154,81.0,1.57,6.16423076923077,2.57
9,1880,72,0,18.424242424242426,9.0,565.064393939394,1973,4,548.3030303030303,231.0,454064.0303030303,2669.0,10.0,758.8181818181819,335.0,,,,,99,0.0,22.393939393939394,9.0,740.2462121212121,268,0,60.27272727272727,17.0,7066.704545454545,15.0,0.0,3.522727272727273,2.57
10,1881,57,0,20.35483870967742,12.0,407.63655913978494,1657,9,579.516129032258,345.0,313007.45806451613,2301.0,10.0,819.7096774193549,473.0,,,,,90,0.0,33.41935483870968,21.0,968.1182795698925,212,0,57.54838709677419,28.0,4285.855913978495,7.88,0.0,3.3725806451612903,3.17
11,1882,65,0,14.594594594594595,4.0,327.340244353943,1787,3,411.4594594594595,114.0,246152.19696408737,2412.0,6.0,585.5135135135135,174.5,,,,,103,0.0,21.472972972972972,8.0,666.52665679378,201,0,45.148648648648646,10.5,3751.087189929656,18.0,0.0,3.968918918918919,3.0999999999999996
12,1883,72,0,15.75,6.5,403.2664835164835,1969,3,452.4673913043478,184.0,307564.22969421884,2741.0,3.0,652.6413043478261,266.5,,,,,123,0.0,25.315217391304348,14.5,833.2072384137601,359,0,57.54347826086956,16.5,6845.107978977544,31.5,0.0,4.923804347826087,3.6550000000000002
13,1884,73,0,12.224576271186441,3.0,302.2940317345835,2036,0,342.521186440678,98.5,221269.6718896502,2672.0,4.0,489.0169491525424,141.0,,,,,146,0.0,20.96186440677966,8.0,784.215560764515,469,0,62.86864406779661,13.0,9576.701821132348,54.0,0.0,,3.0
14,1885,68,0,14.491525423728813,6.5,326.28625235404894,1869,3,399.6694915254237,189.5,234921.6419672606,2487.0,3.0,564.4661016949152,272.0,,,,,131,0.0,29.906779661016948,18.5,1049.1963638997538,308,0,56.813559322033896,20.5,5982.870925684485,27.0,0.0,4.467966101694915,3.605
15,1886,66,0,14.212765957446809,4.0,361.3544072948328,1766,1,388.97872340425533,94.0,260253.12097264436,2477.0,3.0,560.049645390071,153.0,,,,,207,0.0,39.52482269503546,16.0,2224.0225937183386,513,0,64.19148936170212,15.0,9536.5273556231,36.0,0.0,5.597943262411348,4.22
16,1887,66,0,14.722627737226277,5.0,322.7460283383426,1768,0,402.26277372262774,150.0,231521.32750107342,2492.0,1.0,594.3576642335767,221.0,,,,,205,0.0,44.175182481751825,24.0,2249.0867325032204,355,0,43.175182481751825,12.0,3827.7779089738083,40.5,0.0,,3.86
17,1888,64,0,17.371900826446282,10.0,312.78553719008266,1754,1,477.56198347107437,278.0,228662.09820936638,2286.0,4.0,669.8925619834711,427.0,,,,,157,0.0,39.05785123966942,27.0,1407.1382920110193,335,0,68.0495867768595,35.0,5504.230853994491,54.0,0.0,4.166776859504132,3.15
18,1889,68,0,14.96124031007752,6.0,268.7719234496124,1860,1,442.3333333333333,180.0,215386.00520833334,2641.0,1.0,655.1162790697674,281.0,,,,,274,0.0,56.72093023255814,32.0,3184.062136627907,368,0,59.57364341085271,24.0,4899.183987403101,27.0,0.0,5.319922480620155,4.31
19,1890,65,0,13.649289099526067,8.0,229.38117806364252,1809,0,400.49289099526067,238.0,185054.59399684044,2506.0,2.0,599.4881516587677,386.0,,,,,289,0.0,55.54976303317535,33.0,3367.0010832769126,341,0,51.87677725118483,22.0,4491.908553373956,60.0,0.0,,4.42
20,1891,56,0,13.180555555555555,6.0,232.6524864024864,1683,1,405.28472222222223,206.0,196340.24703768454,2371.0,3.0,602.5,307.5,,,,,262,0.0,55.798611111111114,31.0,3587.6304875679875,337,0,53.166666666666664,23.5,4515.132867132867,81.0,0.0,5.236319444444445,3.9000000000000004
21,1892,67,0,14.754545454545454,6.5,276.0768140116764,1866,3,439.27272727272725,239.5,221106.20016680568,2639.0,9.0,642.5727272727273,373.5,,,,,270,0.0,56.163636363636364,32.0,3453.6243536280235,314,0,54.345454545454544,26.0,4408.760300250208,36.0,0.0,4.703636363636363,3.415
22,1893,50,0,11.763636363636364,5.5,176.5858215179316,1446,2,378.1181818181818,203.5,155579.62810675564,2111.0,7.0,579.3090909090909,325.5,,,,,218,0.0,55.845454545454544,33.0,2965.0125938281903,208,0,30.381818181818183,13.0,1315.0088407005837,63.0,0.0,7.549909090909091,5.140000000000001
23,1894,46,0,9.992307692307692,4.0,153.2324985092427,1342,0,319.18461538461537,137.5,139916.27573047107,1987.0,1.0,493.2,229.5,,,,,200,0.0,45.15384615384615,23.0,2440.890876565295,195,0,25.638461538461538,9.5,1271.6899821109123,189.0,0.0,,5.74
